Item Code,Item Name,Principal,Brand,Transportation Cost
5501111001,Sweety Curry Powder 60g (1x10x15pack),Diamond And Sweety,Sweety,Ton
5501112001,Sweety Curry Powder 10g (1x10x60 streamer),Diamond And Sweety,Sweety,Ton
5501112002,Sweety Curry Powder 10g (1x20x30 pack) with hanger,Diamond And Sweety,Sweety,Ton
5501113001,Sweety Curry Powder 100g (1x12x4 pack),Diamond And Sweety,Sweety,Ton
5101111003,Zann Sunflower Seeds Salty 60g (1x200pcs),Royal Fantastic,Zann,Ton
5101111004,Zann Sunflower Seeds Salty 90g (1x115pcs),Royal Fantastic,Zann,Ton
3200000001,May Yee Mon Rakhine Fish Paste 50g -MT Pack (1x5x20packs),Ya Thar Taw Win,May Yee Mon,Ton
3200000002,May Yee Mon Marine Fish Paste 50g-MT Pack (1x5x20packs),Ya Thar Taw Win,May Yee Mon,Ton
3200000003,May Yee Mon Fish Sauce 50g-MT Pack (1x5x20packs),Ya Thar Taw Win,May Yee Mon,Ton
5301111007,Aurora Preserved YawThaMa Salad (1x5x140),Aurora,Aurora Preserved Fruits,Ton
5301111008,Aurora Preserved Plum Sweet Wet (1x5x140),Aurora,Aurora Preserved Fruits,Ton
5301111009,Aurora Preserved Mango Slice Sweet Wet (1x5x140),Aurora,Aurora Preserved Fruits,Ton
5301111010,Aurora Preserved Mango Sweet Wet (1x5x140),Aurora,Aurora Preserved Fruits,Ton
4601112002,Vita Health MV Ener-G (3x10capx72x216pcs),Vita Health,Vita Health,Ton
4601311006,Vita Health Garlic Oil (3x10capx158x474pcs),Vita Health,Vita Health,Ton
4601311007,Vita Health Flaxseed Oil (3x10capx158x474pcs),Vita Health,Vita Health,Ton
4601311008,Vita Health Fish Oil (3x10capx158x474pcs),Vita Health,Vita Health,Ton
4601311009,Vita Health Almond Oil (3x10capx158x474pcs),Vita Health,Vita Health,Ton
4601311010,Vita Health Co-Enzyme Q10 (10x10capx100x1000pcs),Vita Health,Vita Health,Ton
4900000001,Danuphyu Daw Saw Yee Balachaung 500g TDG On-Pack ( 1 x 10 packs),Danuphyu Daw Saw Yee,Danuphyu Daw Saw Yee,Ton
4900000002,Danuphyu Daw Saw Yee Pounded Fish Paste 500g TDG On-Pack (1x9 packs),Danuphyu Daw Saw Yee,Danuphyu Daw Saw Yee,Ton
4800000001,Pai Cheese Ring 10g - MT Pack (10pcsx20packs),Htoo Kaung Myat,Pai Snack,3000
4800000002,Pai Cheese Ball 10g - MT Pack (10pcsx20packs),Htoo Kaung Myat,Pai Snack,3000
5001111006,May Kha Lar Preserved Marian Spicy 40g (1x5x50pack),CMP Fruits Garden,May Kha Lar,Ton
5001111007,May Kha Lar Preserved Mango Slices Spicy 40g (1x5x50pack),CMP Fruits Garden,May Kha Lar,Ton
5001111008,May Kha Lar Preserved Plum Seedless Sweet 65g (1x5x50pack),CMP Fruits Garden,May Kha Lar,Ton
5001111009,May Kha Lar Preserved Plum Seedless Spicy 65g (1x5x50pack),CMP Fruits Garden,May Kha Lar,Ton
4201111004,Phwer Htwe Pickled Tea Spicy 35g 5s on pack (5x60packs),Constellation,Phwer Htwe,Ton
4201111003,Phwer Htwe Pickled Tea Spicy 35g (1x10packsx30),Constellation,Phwer Htwe,Ton
5401111001,Coffee Cherry 3 in 1 instant brew coffee 20g 10pcs (1x25bags),Great Ever Top One,Coffee Cherry,Ton
5401111002,Coffee Cherry 3 in 1 instant brew coffee 20g 20pcs (1x35bags),Great Ever Top One,Coffee Cherry,Ton
5101111001,Zann Sunflower Seeds Salty 60g (1x150pcs),Royal Fantastic,Zann,Ton
5101111002,Zann Sunflower Seeds Salty 110g (1x90pcs),Royal Fantastic,Zann,Ton
5301111001,Aurora Preserved Damson Red (1x5x120),Aurora,Aurora Preserved Fruits,Ton
5301111002,Aurora Preserved Peach Sweet (1x5x120),Aurora,Aurora Preserved Fruits,Ton
5301111003,Aurora Preserved Lemon Sweet (1x5x120),Aurora,Aurora Preserved Fruits,Ton
5301111004,Aurora Preserved Damson Salad (1x5x140),Aurora,Aurora Preserved Fruits,Ton
5301111005,Aurora Preserved Damson Hot&Spicy Wet (1x5x140),Aurora,Aurora Preserved Fruits,Ton
5301111006,Aurora Preserved Mixed Fruits Wet (1x5x140),Aurora,Aurora Preserved Fruits,Ton
