Item Code,Item Name,Is Active,Principal,Brand,UOM,Purchase Weight,Transportation Cost
0300000073,Brand's Berry Essence Concentrate 1.5oz (FOC) (1x1pcs),Active,Suntory Beverage,BBE,1,0.14,850
0300000074,Brand's Prune Essence Concentrate 1.5oz (FOC) (1x1Pcs),Active,Suntory Beverage,BPE,1,0.14,850
4000000003,Moshi Potato Chips Original 38g - MT Pack (1x12packs),Active,Honesty,Moshi,12,4.68,1000
4000000004,Moshi Potato Chips Spicy 38g - MT Pack (1x12packs),Active,Honesty,Moshi,12,4.68,1000
3202211001,May Yee Mon Chicken Congee 25g (1x10x15packs),Active,Ya Thar Taw Win,May Yee Mon,150,4,850
4201111009,Phwer Htwe Pickeld Tea Leaves Classic 36g (1x10x30),Active,Constellation,Phwer Htwe,30,11.8,850
4501122002,Excel Care Tile & Marble Shampoo 1000ml (1x15),Active,Glamdust,Excel Care,15,15,850
4501122003,Excel Care Lime Scale Remover 5000ml (1x4pcs),Active,Glamdust,Excel Care,4,20,850
4501151003,Excel Care Oven Cleaner 5000ml (1x4pcs),Active,Glamdust,Excel Care,4,20,850
5001111031,May Kha Lar Preserved Mango Wet Spicy 80g (1x35),Active,CMP Fruits Garden,May Kha Lar,35,14,850
